question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
"Determine whether the following health claim is true or false:

Abortionists have reduced our black population by more than 25 percent since 1973.",False,false,6.12,0.612,0.667,3,1,SUPPORTED,0.687,QUESTIONABLE
"Determine whether the following health claim is true or false:

Novel Coronavirus (COVID-19) is no more dangerous than the common cold, and it's being blown out of proportion to make the President of the United States look bad.",False,false,6.89,0.689,1.0,,0,SUPPORTED,0.841,RELIABLE
"Determine whether the following health claim is true or false:

Tumor-free flounder: Study underscores Boston Harbor rebirth.",True,true,6.46,0.646,0.667,3,1,SUPPORTED,0.699,QUESTIONABLE
"Determine whether the following health claim is true or false:

GOP senators from NC come out against Trump EPA nominee.",True,true,5.54,0.554,1.0,,0,SUPPORTED,0.794,QUESTIONABLE
"Determine whether the following health claim is true or false:

Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets. ",True,true,7.81,0.781,0.917,2,2,SUPPORTED,0.834,RELIABLE
"Determine whether the following health claim is true or false:

John Holdren, director of the White House Office of Science and Technology Policy, ""has proposed forcing abortions and putting sterilants in the drinking water to control population.",False,false,6.53,0.653,1.0,,0,SUPPORTED,0.829,RELIABLE
"Determine whether the following health claim is true or false:

An inaudible sonic weapon adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba.",False,false,7.72,0.772,1.0,,0,SUPPORTED,0.87,RELIABLE
"Determine whether the following health claim is true or false:

Lamont fills top public health, insurance agency jobs.",True,true,5.4,0.54,1.0,,0,SUPPORTED,0.789,QUESTIONABLE
"Determine whether the following health claim is true or false:

Walter ""Blackie"" Wetzel, a former leader of the Blackfeet Nation, designed the Indian head logo for the Washington D.C. ""Redskins"" NFL team.",False,true,7.52,0.752,0.583,1,3,SUPPORTED,0.708,QUESTIONABLE
"Determine whether the following health claim is true or false:

Heroin comes in the United States ""from the southern border.",True,true,6.74,0.674,1.0,,0,SUPPORTED,0.836,RELIABLE
