question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
"Determine whether the following health claim is true or false:

Our spending has caught up with us, and our debt soon will eclipse the entire size of our national economy.",The claim is TRUE.,true,4.91,0.491,0.833,1,3,SUPPORTED,0.704,QUESTIONABLE
"Determine whether the following health claim is true or false:

Humira Provides Effective, Non-Steroid Alternative for Eye Inflammation",TRUE,true,6.93,0.693,1.0,,0,SUPPORTED,0.843,RELIABLE
"Determine whether the following health claim is true or false:

The WHO coronavirus test “was a bad test.”","The claim that the WHO coronavirus test ""was a bad test"" is FALSE.",false,6.18,0.618,0.333,1,3,SUPPORTED,0.574,UNRELIABLE
"Determine whether the following health claim is true or false:

Clark County ranks first in nation in syphilis rates.","The health claim ""Clark County ranks first in nation in syphilis rates"" is TRUE.",true,6.54,0.654,1.0,,0,SUPPORTED,0.829,RELIABLE
"Determine whether the following health claim is true or false:

A Time magazine cover from 1977 with the title “The Big Freeze” is an example of media fearmongering over  “global cooling” in the 1970s.",The health claim is FALSE.,false,6.72,0.672,1.0,,0,SUPPORTED,0.835,RELIABLE
"Determine whether the following health claim is true or false:

Scarless weight-loss surgery: pacemaker for your hunger","The health claim ""Scarless weight-loss surgery: pacemaker for your hunger"" is FALSE. The context clearly states that VBLOC is an experimental treatment, not yet available, and unapproved for use in the U.S., and its effectiveness is still being tested in clinical trials.",mixture,6.35,0.635,0.917,3,1,SUPPORTED,0.782,QUESTIONABLE
"Determine whether the following health claim is true or false:

President Obama was arrested in Japan in connection with the seizure of massive amounts of cocaine on his yacht.","The health claim that ""President Obama was arrested in Japan in connection with the seizure of massive amounts of cocaine on his yacht"" is FALSE.",false,7.13,0.713,1.0,,0,SUPPORTED,0.85,RELIABLE
"Determine whether the following health claim is true or false:

Stephen Hawking's thesis and wheelchair sell for $1 million.",False. The context does not support the claim that Stephen Hawking's thesis and wheelchair sold for $1 million.,true,5.26,0.526,0.75,1,3,SUPPORTED,0.688,QUESTIONABLE
"Determine whether the following health claim is true or false:

US patent number CA2741523 is for swine flu.",The health claim that US patent number CA2741523 is for swine flu is FALSE.,mixture,6.55,0.655,1.0,,0,SUPPORTED,0.829,RELIABLE
"Determine whether the following health claim is true or false:

12 Minutes of Yoga for Better Bone Health","The health claim ""12 Minutes of Yoga for Better Bone Health"" is TRUE. The study found improvements in bone density in the spine and femur of participants who practiced yoga for 12 minutes a day, suggesting that daily yoga practice could be beneficial for bone health.",true,7.3,0.73,0.833,2,2,SUPPORTED,0.787,QUESTIONABLE
"Determine whether the following health claim is true or false:

New Breast Reconstruction Technique Provides Better Outcomes, Less Discomfort for Women Recovering From Breast Cancer",Insufficient information in the provided context.,false,6.55,0.655,0.833,1,3,SUPPORTED,0.762,QUESTIONABLE
"Determine whether the following health claim is true or false:

Wisconsin bill ""grants drug companies and medical device manufacturers immunity from injuries and deaths caused by their products.","The health claim is PARTIALLY TRUE. The bill does grant immunity to drug companies and medical device manufacturers, but only under certain conditions (i.e., when FDA approval has been granted) and with some exceptions.",true,6.23,0.623,1.0,,0,SUPPORTED,0.818,RELIABLE
"Determine whether the following health claim is true or false:

Starving prostate cancer with what you eat for dinner","The health claim ""Starving prostate cancer with what you eat for dinner"" is FALSE. The context suggests that while certain phytochemicals may have shown promise in inhibiting prostate tumor growth in mice, there is no conclusive evidence to support the claim that eating specific foods can prevent or starve prostate cancer in humans.",false,5.71,0.571,0.917,2,2,SUPPORTED,0.761,QUESTIONABLE
"Determine whether the following health claim is true or false:

Thailand reports new coronavirus death as total cases reach 1,245.","The health claim ""Thailand reports new coronavirus death as total cases reach 1,245"" is TRUE.",true,6.48,0.648,1.0,,0,SUPPORTED,0.827,RELIABLE
"Determine whether the following health claim is true or false:

US troops get freeze-dried plasma for battlefield bloodshed.","The health claim ""US troops get freeze-dried plasma for battlefield bloodshed"" is TRUE.",true,5.82,0.582,0.917,2,2,SUPPORTED,0.765,QUESTIONABLE
"Determine whether the following health claim is true or false:

A letter to the editor suggested that 2007's early start to Daylight Saving Time contributed to global warming.",The health claim that the early start to Daylight Saving Time in 2007 contributed to global warming is FALSE.,mixture,6.13,0.613,0.667,1,3,SUPPORTED,0.689,QUESTIONABLE
"Determine whether the following health claim is true or false:

This town (Wilmington, Ohio) hasn’t taken any money from the government. They don’t want any money from the government.",Insufficient information in the provided context.,false,4.31,0.431,0.0,1,3,SUPPORTED,0.392,UNRELIABLE
"Determine whether the following health claim is true or false:

Donald Trump raped his former wife and a young woman, and his modeling agency was found to be trafficking young girls.",The health claim is FALSE.,mixture,5.97,0.597,0.583,2,2,SUPPORTED,0.653,QUESTIONABLE
"Determine whether the following health claim is true or false:

Abortionists have reduced our black population by more than 25 percent since 1973.","The health claim made by Rep. Charles Van Zant is FALSE. The African-American population has increased since 1973, not decreased by 25 percent as claimed.",false,6.12,0.612,0.667,1,3,SUPPORTED,0.689,QUESTIONABLE
"Determine whether the following health claim is true or false:

Novel Coronavirus (COVID-19) is no more dangerous than the common cold, and it's being blown out of proportion to make the President of the United States look bad.","The health claim ""Novel Coronavirus (COVID-19) is no more dangerous than the common cold, and it's being blown out of proportion to make the President of the United States look bad"" is FALSE.",false,6.89,0.689,1.0,,0,SUPPORTED,0.841,RELIABLE
"Determine whether the following health claim is true or false:

Tumor-free flounder: Study underscores Boston Harbor rebirth.","The health claim ""Tumor-free flounder: Study underscores Boston Harbor rebirth"" is TRUE.",true,6.46,0.646,1.0,,0,SUPPORTED,0.826,RELIABLE
"Determine whether the following health claim is true or false:

GOP senators from NC come out against Trump EPA nominee.",Insufficient information in the provided context.,true,5.54,0.554,0.0,1,3,UNSUPPORTED,0.185,UNRELIABLE
"Determine whether the following health claim is true or false:

Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets. ","The health claim that ""Blue-green algae (known scientifically as cyanobacteria) are capable of poisoning dogs and other pets"" is TRUE.",true,7.81,0.781,1.0,,0,SUPPORTED,0.873,RELIABLE
"Determine whether the following health claim is true or false:

John Holdren, director of the White House Office of Science and Technology Policy, ""has proposed forcing abortions and putting sterilants in the drinking water to control population.",The health claim is FALSE.,false,6.53,0.653,0.667,1,3,SUPPORTED,0.703,QUESTIONABLE
"Determine whether the following health claim is true or false:

An inaudible sonic weapon adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba.",The health claim that an inaudible sonic device adequately explains the range of symptoms experienced by diplomats suffering from “health attacks” in Cuba is FALSE.,false,7.72,0.772,1.0,,0,SUPPORTED,0.87,RELIABLE
"Determine whether the following health claim is true or false:

Lamont fills top public health, insurance agency jobs.","The health claim ""Lamont fills top public health, insurance agency jobs"" is TRUE.",true,5.4,0.54,0.833,1,3,SUPPORTED,0.722,QUESTIONABLE
"Determine whether the following health claim is true or false:

Walter ""Blackie"" Wetzel, a former leader of the Blackfeet Nation, designed the Indian head logo for the Washington D.C. ""Redskins"" NFL team.","The health claim is FALSE. Walter ""Blackie"" Wetzel did not design the Indian head logo for the Washington D.C. ""Redskins"" NFL team, but rather provided inspiration for it.",true,7.52,0.752,0.917,2,2,SUPPORTED,0.824,RELIABLE
"Determine whether the following health claim is true or false:

Heroin comes in the United States ""from the southern border.","True. The claim that heroin comes in the United States ""from the southern border"" is supported by the context, which states that the vast majority of heroin in the United States comes from Mexico and South America, and that most of these drugs are trafficked across the Southwest Border from Mexico into the US.",true,6.74,0.674,1.0,,0,SUPPORTED,0.836,RELIABLE
