question,generated_answer,ground_truth,qcas,embedding_qcas,trs,hoi,cl,verdict,reliability_score,reliability_label
What is Bae Geu-rin's occupation?,"Bae Geu-rin's occupation is an actor, which can also be referred to as an actress.","[""actor"", ""actress"", ""actors"", ""actresses""]",6.46,0.646,0.667,1,3,SUPPORTED,0.701,QUESTIONABLE
What is Javier Alva Orlandini's occupation?,Javier Alva Orlandini's occupation is politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",7.34,0.734,0.667,1,3,SUPPORTED,0.731,QUESTIONABLE
What is Edgar Allan Poe's occupation?,"Edgar Allan Poe's occupation is playwright, dramatist, playwrite, scriptwriter, and poet.","[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",6.07,0.607,0.917,3,1,SUPPORTED,0.772,QUESTIONABLE
What is John Finlay's occupation?,John Finlay's occupation is a politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5.39,0.539,0.667,1,3,SUPPORTED,0.663,QUESTIONABLE
What is John Floyd's occupation?,John Floyd's occupation is politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5.82,0.582,0.667,1,3,SUPPORTED,0.678,QUESTIONABLE
What is Sachiko Kokubu's occupation?,"Sachiko Kokubu's occupation is an actor, which can also be referred to as an actress.","[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",7.07,0.707,0.667,1,3,SUPPORTED,0.722,QUESTIONABLE
What is Rudolf Hilferding's occupation?,Rudolf Hilferding's occupation is politician.,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6.06,0.606,0.667,1,3,SUPPORTED,0.687,QUESTIONABLE
"What is Charles Strachey, 4th Baron O'Hagan's occupation?","Charles Strachey, 4th Baron O'Hagan's occupation is politician.","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",7.62,0.762,1.0,,0,SUPPORTED,0.867,RELIABLE
What is Akari Hayami's occupation?,Akari Hayami's occupation is an actor or actress.,"[""actor"", ""actress"", ""actors"", ""actresses""]",6.96,0.696,1.0,,0,SUPPORTED,0.844,RELIABLE
What is Richard Martin's occupation?,Richard Martin's occupation is an actor.,"[""actor"", ""actress"", ""actors"", ""actresses""]",6.06,0.606,0.667,1,3,SUPPORTED,0.687,QUESTIONABLE
"What is Harvey Peltier, Sr.'s occupation?","Harvey Peltier, Sr.'s occupation is a lawyer.","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5.57,0.557,1.0,,0,SUPPORTED,0.795,QUESTIONABLE
What is Paris's occupation?,Paris's occupation is an actor.,"[""actor"", ""actress"", ""actors"", ""actresses""]",6.68,0.668,1.0,,0,SUPPORTED,0.834,RELIABLE
What is Fairfax M. Cone's occupation?,Fairfax M. Cone's occupation is a businessperson.,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",6.53,0.653,1.0,,0,SUPPORTED,0.829,RELIABLE
What is Colleen Zenk Pinter's occupation?,"Colleen Zenk Pinter's occupation is an actor, which can also be referred to as an actress.","[""actor"", ""actress"", ""actors"", ""actresses""]",6.84,0.684,0.667,1,3,SUPPORTED,0.714,QUESTIONABLE
What is Thomas McMurtry's occupation?,Thomas McMurtry's occupation is a test pilot.,"[""test pilot""]",4.87,0.487,1.0,,0,SUPPORTED,0.77,QUESTIONABLE
What is Albert Bates's occupation?,Albert Bates's occupation is a lawyer.,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",5.49,0.549,1.0,,0,SUPPORTED,0.792,QUESTIONABLE
What is Heath's occupation?,Heath's occupation is a songwriter.,"[""songwriter"", ""song writer""]",5.75,0.575,0.667,1,3,SUPPORTED,0.676,QUESTIONABLE
What is Wise's occupation?,"Wise's occupation is a record producer, also known as a music producer.","[""record producer"", ""music producer""]",6.05,0.605,1.0,,0,SUPPORTED,0.812,RELIABLE
What is Stevie Cameron's occupation?,Stevie Cameron's occupation is a journalist.,"[""journalist"", ""journo"", ""journalists""]",6.31,0.631,0.667,1,3,SUPPORTED,0.695,QUESTIONABLE
What is Yoshiki Tonogai's occupation?,Yoshiki Tonogai's occupation is mangaka or manga artist.,"[""mangaka"", ""manga artist""]",6.46,0.646,0.667,1,3,SUPPORTED,0.701,QUESTIONABLE
What is Geeling Ng's occupation?,Geeling Ng's occupation is a restaurateur.,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",7.05,0.705,0.667,1,3,SUPPORTED,0.721,QUESTIONABLE
What is Bruce McDaniel's occupation?,Bruce McDaniel's occupation is composer.,"[""composer""]",6.56,0.656,0.667,1,3,SUPPORTED,0.704,QUESTIONABLE
What is Thomas R. Whitney's occupation?,Thomas R. Whitney's occupation is politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6.05,0.605,1.0,,0,SUPPORTED,0.812,RELIABLE
What is William Lescaze's occupation?,William Lescaze's occupation is architect.,"[""architect""]",6.12,0.612,0.667,1,3,SUPPORTED,0.689,QUESTIONABLE
What is Edwin Wallock's occupation?,Edwin Wallock's occupation is an actor.,"[""actor"", ""actress"", ""actors"", ""actresses""]",5.26,0.526,1.0,,0,SUPPORTED,0.784,QUESTIONABLE
What is Tsutomu Seki's occupation?,Tsutomu Seki's occupation is astronomer.,"[""astronomer""]",6.69,0.669,0.667,1,3,SUPPORTED,0.709,QUESTIONABLE
What is Matthew McKay's occupation?,Matthew McKay's occupation is a dentist.,"[""dentist"", ""dentists"", ""dental surgeon""]",6.56,0.656,1.0,,0,SUPPORTED,0.83,RELIABLE
What is Dominick Bellizzi's occupation?,Dominick Bellizzi's occupation is a jockey.,"[""jockey""]",5.71,0.571,0.667,1,3,SUPPORTED,0.674,QUESTIONABLE
What is William Watson's occupation?,William Watson's occupation is a physician.,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",5.86,0.586,1.0,,0,SUPPORTED,0.805,RELIABLE
What is Sarah Dawn Finer's occupation?,Sarah Dawn Finer's occupation is a songwriter.,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]",6.39,0.639,0.667,1,3,SUPPORTED,0.698,QUESTIONABLE
What is Brendan Canty's occupation?,Brendan Canty's occupation is musician.,"[""composer"", ""musician"", ""musical artist""]",6.12,0.612,0.667,1,3,SUPPORTED,0.689,QUESTIONABLE
What is María Elena Marqués's occupation?,María Elena Marqués's occupation is an actor or actress.,"[""actor"", ""actress"", ""actors"", ""actresses""]",6.88,0.688,0.667,1,3,SUPPORTED,0.715,QUESTIONABLE
What is Michael Arad's occupation?,Michael Arad's occupation is architect.,"[""architect""]",6.31,0.631,0.667,1,3,SUPPORTED,0.695,QUESTIONABLE
What is Patrick O'Brien Demsey's occupation?,Patrick O'Brien Demsey's occupation is an actor.,"[""actor"", ""actress"", ""actors"", ""actresses""]",5.93,0.593,0.667,1,3,SUPPORTED,0.682,QUESTIONABLE
What is Ole Krarup's occupation?,Ole Krarup's occupation is a politician.,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5.99,0.599,1.0,,0,SUPPORTED,0.81,RELIABLE
What is Antonio Álvarez Alonso's occupation?,Antonio Álvarez Alonso's occupation is composer and pianist.,"[""composer"", ""pianist""]",6.92,0.692,0.667,1,3,SUPPORTED,0.717,QUESTIONABLE
